QType,question,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
2,"A ""best practice"" jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",igaz,hamis,,,,1 0
2,"A ""best practice"" jellegű üzleti folyamatok nem az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",igaz,hamis,,,,0 1
2,A DRP feladata a kiesett erőforrások visszaállításának biztosítása.,igaz,hamis,,,,1 0
2,A DRP feladata a kiesett erőforrások nélküli funkcionális működés biztosítása.,igaz,hamis,,,,0 1
2,"A BCP jelentése kiesett erőforrás visszaállítása, míg a DRP jelentése a kiesett erőforrások nélküli funkcionális működés.",igaz,hamis,,,,0 1
2,A BOM-ban backflush hatására változik-e a készletszint?,igaz,hamis,,,,1 0
2,A DSS-rendszerek a döntési folyamat informatikai támogatását szolgáló rendszerek.,igaz,hamis,,,,1 0
2,A DSS-rendszerek nem a döntési folyamat informatikai támogatását szolgáló rendszerek.,igaz,hamis,,,,0 1
2,A Garbage in garbage out hatásnak nincsen nagy jelentősége hibás adatkezelés esetén.,igaz,hamis,,,,0 1
2,"A garbage in garbage out jelentése, hogy rossz adatokból csak rossz adatok nyerhetőek ki",igaz,hamis,,,,1 0
2,A HANA repository a futásidejű adatbázis objektumokattárolja.,igaz,hamis,,,,0 1
2,Egy HANA adatbázis alapvetően OLAP igényekkiszolgálására alkalmas,igaz,hamis,,,,1 0
2,Egy HANA adatbázisban az adatok karbantartása (pl.: újrekord felvitele) technológiai szempontból a delta bufferekenkeresztül valósul meg.,igaz,hamis,,,,1 0
2,"HANA környezetben a delivery unitok szolgálnak a különbözőrendszerek (fejlesztői teszt, produktyv) közötti transzporthoz.",igaz,hamis,,,,1 0
2,A MOLAP (Multidimensional OLAP) rendszerek az adatok tárolására a multidimenziós adatmodellt használják.,igaz,hamis,,,,1 0
2,A Máv-Start által fejlesztett Elvira elnevezésű menetrend rendszer egy információs rendszer.,igaz,hamis,,,,1 0
2,A PaaS alkalmazás szolgáltatást jelent.,igaz,hamis,,,,0 1
2,A PaaS platform szolgáltatást jelent.,igaz,hamis,,,,1 0
2,"A ""PaaS"" jelentése szoftverszolgáltatás.",igaz,hamis,,,,0 1
2,A SAP NetWeaver egy átfogó integrációs és alkalmazási platform,igaz,hamis,,,,1 0
2,A beszerzési információ rekordok (purchasing info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatokat tartalmazzák.,igaz,hamis,,,,1 0
2,A beszerzési információs rekordok (purchase info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatait tartalmazzák.,igaz,hamis,,,,1 0
2,A beszerzési információs rekordok (purchasing info records) a darabjegyzék (BOM) és a műveleti jegyzék (routing) megfelelő elemeit kapcsolja össze a beszerzés vonatkozásában.,igaz,hamis,,,,0 1
2,"A beszerzési információs rekordok (purchasing info records) megmutatják, hogy hogyan lehet összekötni a szállítót a vállalattal. Megmutatja, hogy az adott szállító milyen anyagot tud szállítani, megmutatja, hogy milyen kedvezményeket kaphat a szállító, illetve feljegyzéseket készíthetünk.",igaz,hamis,,,,1 0
2,"A centralizáció: biztosítja az egységes vezetői akarat érvényesítését, az erőforrások racionális hasznosítását.",igaz,hamis,,,,1 0
2,"A centralizált hatáskörök leadása előnyös a munkavállalói elégedettség, a kreativitás és az elkötelezettség növelése.",igaz,hamis,,,,0 1
2,A darabjegyzék (Bill of material) létrehozása és karbantartása többszintű darabjegyzék formájában is történhet.,igaz,hamis,,,,1 0
2,A darabjegyzék (bill of material) létrehozása és karbantartása csak egyszintű darabjegyzék (single-level BOM) formájában történhet.,igaz,hamis,,,,0 1
2,A darabjegyzék (bill of material) létrehozása és karbantartásatöbbszintű darabjegyzék (multi-level BOM) formájában istörténhet.,igaz,hamis,,,,0 1
2,A diszpozíció (MRP) futás eredménye lehet egy tervrendelés(planned order).,igaz,hamis,,,,1 0
2,"A diszpozíció az SAP-rendszerben az anyagok rendelkezésreállásának biztosítását, az anyagszükséglet tervezését jelenti.",igaz,hamis,,,,1 0
2,"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelynek telepítőkészletét a vállalatok CD, DVD vagy Blu-ray lemezek formájában vásárolhatnak meg.",igaz,hamis,,,,0 1
2,A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek azonos funkcionalitással bírnak.,igaz,hamis,,,,0 1
2,A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek nem azonos funkcionalitással bírnak.,igaz,hamis,,,,1 0
2,A döntéshozatali hierarchia és információ igény szerint a operatív vezetés problémaszerkezet jól strukturált.,igaz,hamis,,,,1 0
2,A döntéshozatali hierarchia és információ igény szerint a stratégiai vezetők problémaszerkezet közepesen struktúrált.,igaz,hamis,,,,0 1
2,A döntéshozatali hierarchia és információ igény szerint a taktikai vezetés problémaszerkezet közepesen strukturált.,igaz,hamis,,,,1 0
2,A döntéstámogató rendszerek a stratégiai döntéshozatalhoz kapcsolódó igényeket elégítik ki.,igaz,hamis,,,,1 0
2,"A döntéstámogató rendszerek, vállalati műveleteket támogató rendszerek.",igaz,hamis,,,,0 1
2,A döntéstámogató rendszerekben a teljesítménynövelés egyik praktikus módja az adatredukció.,igaz,hamis,,,,1 0
2,A felhasználás vezérelt diszpozíció (consumption-based planning) típusú eljárások alapvetően az anyag múltbéli fogyasztásán alapulnak.,igaz,hamis,,,,1 0
2,"A felhasználóval való kapcsolattartás alapján megkülönböztethetők passzív, aktív és kooperatív döntéstámogató rendszerek.",igaz,hamis,,,,1 0
2,A felhő szolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,igaz,hamis,,,,1 0
2,"A felhőalapú szolgáltatás egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül a különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",igaz,hamis,,,,1 0
2,"A felhőalapú szolgáltatás nem egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",igaz,hamis,,,,0 1
2,A felhőszolgáltatások igénybevétele vállalati környezetben egy szolgáltatáskiszervezési formának tekinthető.,igaz,hamis,,,,1 0
2,A felhőszolgáltatásokra nem jellemző a különféle virtualizált erőforrások használata.,igaz,hamis,,,,0 1
2,A felhőszolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,igaz,hamis,,,,1 0
2,A gamification a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,igaz,hamis,,,,0 1
2,A gamification a konzolról PC-re történő ember-gép reakciók adoptálását jelenti.,igaz,hamis,,,,0 1
2,A gamification játéktervezési elemek használatát jelenti játékos környezetben.,igaz,hamis,,,,0 1
2,A gamification játéktervezési elemek használatát jelenti nem-játékos környezetben.,igaz,hamis,,,,1 0
2,A gamification megközelítésnek pszichológiai vonatkozásai is vannak.,igaz,hamis,,,,1 0
2,A gamification megközelítésének nincsenek pszichológiai vonatkozásai,igaz,hamis,,,,0 1
2,A gamification nem a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,igaz,hamis,,,,1 0
2,A gyártási megrendelés visszavonhatatlan.,igaz,hamis,,,,0 1
2,A gyártási megrendelés visszavonható.,igaz,hamis,,,,1 0
2,A hazai informatikai hálózat váltóáramról megy.,igaz,hamis,,,,1 0
2,A hiba kiszűrés ráfordítás igény és a pontosság között egyenes arányosság van.,igaz,hamis,,,,1 0
2,A háromrétegű architektúrájú vállalati információs rendszerek esetén az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,igaz,hamis,,,,0 1
2,A háromrétegű architektúrájú vállalati információs rendszerek esetén nem az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,igaz,hamis,,,,1 0
2,A háttérfeldolgozás beengedi a hibákat.,igaz,hamis,,,,1 0
2,"A karakteres adatfajtával a feldolgozási módjuk szerint semmiféle műveletet nem végezhetünk, adattartalommal nem összefüggő. (pl.: földrajzi nevek)",igaz,hamis,,,,1 0
2,A kevert szabály formai és tartalmi szabályok keverékei.,igaz,hamis,,,,1 0
2,A kiszállítási pontot (shipping point) üzemhez (plant) lehet rendelni,igaz,hamis,,,,1 0
2,"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a kliens kezdeményezi, a szervernek alaphelyzetben csupán várakozik a bejövő kérésre.",igaz,hamis,,,,1 0
2,"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a szerver kezdeményezi, a kliensek alaphelyzetben csupán várakozik a bejövő kérésre.",igaz,hamis,,,,0 1
2,A kliens-szerver modellben a szerver- és a kliensmodulok általában azonos számítógépekre kerülnek.,igaz,hamis,,,,0 1
2,A kliens-szerver modellben a szerver- és a kliensmodulok általában különböző számítógépekre kerülnek,igaz,hamis,,,,1 0
2,A komponens alapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,igaz,hamis,,,,1 0
2,A komponensalapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,igaz,hamis,,,,1 0
2,A komponensalapú rendszerek nem rendelkeznek feketedoboz-jellegű (black-box) újrafelhasználás lehetőséggel.,igaz,hamis,,,,0 1
2,"A kép adatfajtával a feldolgozási módjuk szerint lehetséges honvédelmi, felderítési, földrajzi, mezőgazdasági, környezetvédelmi, gyógyászati.",igaz,hamis,,,,1 0
2,A különböző diszpozíciós eljárások az SAP-rendszerben a különböző kontrolling eszközök alkalmazását definiálják.,igaz,hamis,,,,0 1
2,"A laza csatolásnak az az előnye, hogy az elemek önmagukban is működőképesek, így nem őrzik meg függetlenségüket.",igaz,hamis,,,,0 1
2,A lefúrás (drill-down) művelete megnöveli az egyik dimenzió felbontását.,igaz,hamis,,,,1 0
2,A legacy rendszerek jogi informatikai rendszerek.,igaz,hamis,,,,0 1
2,A legacy rendszerek rendszerint fontos szerepet játszanak az adott vállalkozások működésében.,igaz,hamis,,,,1 0
2,"A lineáris szervezeti forma egyszerű, jól áttekinthető, egyértelműek az alá fölé rendelési viszonyok",igaz,hamis,,,,1 0
2,"A lineáris szervezeti forma esetén magasak a költésgek, és sok az adminisztráció.",igaz,hamis,,,,0 1
2,"A lineáris-funkcionális szervezeti forma esetén, a törzskar kialakulásának célja a vezető túlterhetlségének csökkentése a szakmai színvonal növelése.",igaz,hamis,,,,1 0
2,"A magánfelhők jellemzője, hogy azok tulajdonosi szerkezete legalább több, mint 50%-ban magánkézben van.",igaz,hamis,,,,1 0
2,A matematikai szabályok közé soroljuk a konzisztencia ellenőrző szabályokat.,igaz,hamis,,,,1 0
2,A multidimenzionális adatmodellben a dimenziós adatok hierarchiába rendezhetők.,igaz,hamis,,,,1 0
2,A multidimenzionális adatmodellben a dimenziós adatok nem rendezhetők hierarchiába.,igaz,hamis,,,,0 1
2,A műveleti tervet (routing) mintának használják fel a gyártási vagy sorozatgyártási feladatoknál.,igaz,hamis,,,,1 0
2,"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás",igaz,hamis,,,,1 0
2,"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás.",igaz,hamis,,,,1 0
2,A nyilvános felhők esetében a szolgáltató az ügyfelek sokaságának kiszolgálását célozta.,igaz,hamis,,,,1 0
2,A nyilvános felhők esetében a szolgáltató nem az ügyfelek sokaságának kiszolgálását célozta.,igaz,hamis,,,,0 1
2,A pivot (rotate) során a forgatáskor a dimenziók száma nő.,igaz,hamis,,,,0 1
2,A rekordszintű hiba összefüggéseket sérthet.,igaz,hamis,,,,1 0
2,A relációs adatok indexelésével az adatelemzés hatékonysága romlik.,igaz,hamis,,,,0 1
2,A rendelési lista elkészültekor a pénzügyi bizonylat is létrejön.,igaz,hamis,,,,0 1
2,"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak",igaz,hamis,,,,1 0
2,"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak.",igaz,hamis,,,,1 0
2,A rendszer-architektúrák közötti fő koncepciós különbséget a centralizáltság mértéke adja.,igaz,hamis,,,,1 0
2,"A rétegek a feladatot jól definiált, kisebb modulokra bontják.",igaz,hamis,,,,1 0
2,"A szervezet alapveto struktúralis jellemzoi koze tartozik a technokratikus jellemzo, melybe beletartoznak a: szabalyok, szabalyzatok, eljarasok, tervek, programok, menetrendek, koltsegkeretek, penzugyi tervek, elszamolo arak.",igaz,hamis,,,,1 0
2,A szervezet alapvető strukturális jellemzői közül a strukturális és személyorientált eszközök a koordinációs eszközök közé tartozik.,igaz,hamis,,,,1 0
2,A szervezet alapvető strukturális jellemzői közül a technokratikus eszközök a kordinációs eszközök közé tartozik.,igaz,hamis,,,,1 0
2,A szervezet definíciója szerint az egyének a cél érdekében folyamatosan tevékenykednek.,igaz,hamis,,,,1 0
2,"A szervezetek kialakulását befolyásoló tagi jellemzők: tartósság, újdonságtartalom.",igaz,hamis,,,,0 1
2,"A szigetszerű alkalmazások a vállalati információs rendszerek területén az olyan vállalatirányítási rendszereket jelölik, amelyek nem rendelkeznek EDI (Electronic Data Interchange) komponenssel.",igaz,hamis,,,,0 1
2,"A szigetszerű alkalmazások a vállalati információs rendszerek területén nem az olyan vállalatirányítási rendszereket jelölik, amelyek rendelkeznek EDI (Electronic Data Interchange) komponenssel.",igaz,hamis,,,,1 0
2,"A szolgálat út biztosítja, hogy az utasítások lefelé minden egységet elérjenek.",igaz,hamis,,,,1 0
2,A szöveg adatfajtával a feldolgozási módjuk szerint szöveg feldolgozási célra használhatók.,igaz,hamis,,,,1 0
2,A tartalmi adatszabály matematikai szabály.,igaz,hamis,,,,0 1
2,A technológiai műveleti terv (routing) a termelési folyamat egyes műveleteit írja le.,igaz,hamis,,,,1 0
2,A terv rendelésből (planned order) gyártási megrendelés (production order) képezhető.,igaz,hamis,,,,1 0
2,"A transzformációs fázis az adatokat olyan közös alakra hozza, amely lehetővé teszi a döntéstámogató rendszerek lényegi feldolgozó algoritmusainak minél hatékonyabb futtatását.",igaz,hamis,,,,1 0
2,A tranzakció feldolgozó rendszerek részei az információs rendszereknek.,igaz,hamis,,,,1 0
2,"A tranzakciók alkalmazások, amelyek üzleti folyamatokatfuttatnak az SAP-ban.",igaz,hamis,,,,1 0
2,A tudásmenedzsment rendszerek a vállalatirányítási rendszerek egyik típusának tekinthetők.,igaz,hamis,,,,0 1
2,A tudásmenedzsment rendszerek az ERP-rendszerek egyik típusának tekinthetőek.,igaz,hamis,,,,0 1
2,A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának,igaz,hamis,,,,1 0
2,A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának.,igaz,hamis,,,,1 0
2,A tételnagyság meghatározásának módja (lot-sizing) a kontrolling szempontjából releváns az SAPrendszerben.,igaz,hamis,,,,1 0
2,A vastagkliens megoldásokra épülő vállalati információs rendszerek eseteként a folyamatos kapcsolat nélküli működés lehetőségét kínálják.,igaz,hamis,,,,1 0
2,A vevő-anyag információs rekordok (customer-material info records) vevőspecifikus kiegészítőinformációkat tartalmazhatnak egy anyagra vonatkozóan.,igaz,hamis,,,,1 0
2,A vállalat szempontjából információnak számít minden bizonytalanságot csökkentő új ismeret.,igaz,hamis,,,,1 0
2,A vállalati alkalmazásintegráció az adatintegritás megfelelőségéért felel.,igaz,hamis,,,,1 0
2,"A vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el.",igaz,hamis,,,,1 0
2,A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata nem csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,igaz,hamis,,,,1 0
2,A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata szinte csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,igaz,hamis,,,,0 1
2,"A vállalati információs rendszerek esetében a vékonykliens megoldások használata számos előnnyel rendelkezik, a hagyományos vastagkliens megoldásokkal szemben.",igaz,hamis,,,,1 0
2,A vállalatirányitási rendszerek bimoduláris felépítésűek.,igaz,hamis,,,,0 1
2,"A vállalatirányítási rendszerek egyfajta tipikus, jól bevált (best practice) folyamatkezelést biztosítanak.",igaz,hamis,,,,1 0
2,A vállalatirányítási rendszerek moduláris felépítésűek,igaz,hamis,,,,1 0
2,A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan döntéstámogató rendszereket alkalmaznak.,igaz,hamis,,,,0 1
2,A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan nem tranzakciófeldolgozó rendszereket alkalmaznak.,igaz,hamis,,,,0 1
2,A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan tranzakciófeldolgozó rendszereket alkalmaznak.,igaz,hamis,,,,1 0
2,"A vállalatok által használt üzleti alkalmazások nem érhetőek el felhőszolgáltatásként, csak a nem üzletiek.",igaz,hamis,,,,0 1
2,"A vékonykliens megoldásokra épülő vállalati információs rendszereknek nehézkesebb a telepítése, mint a vastagkliensre épülőknek.",igaz,hamis,,,,0 1
2,"Adatforrások közül két féle forrást különböztetünk meg: külső, és belső források.",igaz,hamis,,,,1 0
2,Adatminőség javításokat egy rendszerben csak algoritmikus úton végezhetünk,igaz,hamis,,,,1 0
2,"Adatnak nevezzük a számokkal leírható dolgokat, melyek számítástechnikai eszközökkel rögzíthetők, feldolgozhatók és megjeleníthetőek.",igaz,hamis,,,,1 0
2,Adatvédelmi szempontból az eljárásos ellenőrzés adatfeldolgozási szinten valósul meg.,igaz,hamis,,,,0 1
2,"Adatvédelmi szempontból az eljárásos ellenőrzés elősegíti a minőséget és csökkenti a csalás, illetve a hibák esélyét.",igaz,hamis,,,,1 0
2,Adatvédelmi szempontból az eszközös ellenőrzés fizikai védelemi szinten valósul meg.,igaz,hamis,,,,1 0
2,Adatvédelmi szempontból az rendszer szintű ellenőrzés adatfeldolgozási szinten valósul meg,igaz,hamis,,,,1 0
2,Az ABAP Workbench egy Microsoft NAV fejlesztésű platform.,igaz,hamis,,,,0 1
2,Az AVIR egy adattár alapú vezetői információs rendszer a magyar felsőoktatásban.,igaz,hamis,,,,1 0
2,Az AWS a google nyilványos számításfelhő-szolgáltatása.,igaz,hamis,,,,0 1
2,"Az Azure Cloud platform több mint 200 terméket és felhőalapú szolgáltatást foglal magába, amelynek célja, hogy segítsenek az új megoldások létrehozásában, melyekkel megfelelhet a mai kihívásoknak, és felkészülhet a jövőre. Alkalmazásokat fejleszthet, helyezhet üzembe és kezelhet akár a felhőben, akár a helyszínen vagy a peremhálózaton, és ehhez szabadon megválaszthatja saját eszközeit és keretrendszerét.",igaz,hamis,,,,1 0
2,Azure a google nyilvanos szolgáltatása.,igaz,hamis,,,,0 1
2,Az Azure a Microsoft nyilványos számításfelhő-szolgáltatása.,igaz,hamis,,,,1 0
2,Az Azure a SAP nyilvános számításfelhő-szolgáltatása.,igaz,hamis,,,,0 1
2,Az ERP-vel (integralt vallalatiranyitasi rendszerrel) szemben kovetelmeny a redundancia kizarasa.,igaz,hamis,,,,1 0
2,Az ERP-vel (integrált vállalatirányitási rendszerrel) szemben követelmény a jogosultágnak megfelelő hozzáférés.,igaz,hamis,,,,1 0
2,Az IaaS infrastruktúraszolgáltatást jelent.,igaz,hamis,,,,1 0
2,Az MRP típusú diszpozíciós eljárás alapvetően az anyag múltbéli fogyásán alapul.,igaz,hamis,,,,0 1
2,Az OLAP Online Analytical Processing jelent.,igaz,hamis,,,,1 0
2,"Az OLAP egy konkrét szoftver, programcsomag.",igaz,hamis,,,,0 1
2,Az OLAP felgörgetés (roll-up) művelete csökkenti az egyik dimenzió felbontását.,igaz,hamis,,,,1 0
2,"Az OLAP olyan adatfeldolgozó rendszerek közös elnevezése amelyek számos adattárolással, adatábrázolással és statisztikai feldolgozással kapcsolatos koncepciót magukba foglal.",igaz,hamis,,,,1 0
2,Az OLAP rendszerek jellemzően olvasásra vannak optimalizálva.,igaz,hamis,,,,1 0
2,Az OLAP-rendszerek jellemzően nem olvasásra vannak optimalizálva.,igaz,hamis,,,,0 1
2,Az OLAP-rendszerek jellemzően olvasásra vannak optimalizálva.,igaz,hamis,,,,1 0
2,Az OLAP-rendszerek nem relációs adatmodellen alapulnak.,igaz,hamis,,,,1 0
2,Az OLAP-rendszerek relációs adatmodellen alapulnak,igaz,hamis,,,,0 1
2,Az OLAP-rendszerek relációs adatmodellen alapulnak.,igaz,hamis,,,,0 1
2,A OLAP rendszerek többnyire írási folyamatokat végeznek.,igaz,hamis,,,,0 1
2,"OLAP rendszerekben a nyílt interneten, vagy bérelt vonali hálózaton online módon történik az adatok egyfajta valós idejű feldolgozása.",igaz,hamis,,,,1 0
2,"OLAP-nál a dice az egyik művelet, amely szeletelést ,részkocka kiválasztást, illetve projekciót és szelekciót hajt végre.",igaz,hamis,,,,1 0
2,"A klasszikus OLAP megközelítésben az adattárházak adatai nem naprakészek, csupán bizonyos késleltetéssel tükrözik a vállalat állapotát.",igaz,hamis,,,,1 0
2,"Az keresztülfúrás műveletnél az OLAP-kocka felépítéséhez használt operatív adatokhoz tudunk hozzáfűzni, amelyek már nem az OLAP rendszertől, hanem maguktól a tranzakciós adatbázisokból érkeznek.",igaz,hamis,,,,1 0
2,"Az átfúrás (drill across) műveletnél az OLAP-kocka felépítéséhez használt operatív adatokhoz tudunk hozzáfűzni, amelyek már nem az OLAP rendszertől, hanem maguktól a tranzakciós adatbázisokból érkeznek.",igaz,hamis,,,,0 1
2,"Az átfúrás (drill across) műveletnél az OLAP-kockák közötti elemzést teszi lehetővé, vagyis olyan esetekben alkalmazható, amikor több ténytábla kapcsolódik a közös dimenziós adatokhoz.",igaz,hamis,,,,1 0
2,az OLAP rendszerek jellemzően írásra vannak optimalizálva,igaz,hamis,,,,0 1
2,egy OLAP rendszer adatforrásai heterogének is lehetnek,igaz,hamis,,,,1 0
2,Az OLTP Online Transaction Processing-et jelent.,igaz,hamis,,,,1 0
2,Az OLTP mozaikszó az Online Transaction Performance szavakat jelölik.,igaz,hamis,,,,0 1
2,Az OLTP-rendszerek relációs adatmodellen alapulnak,igaz,hamis,,,,1 0
2,Az OLTP-vel az OLAP-hoz képest több műveletet és tranzakciót végeznek átlagosan óránként.,igaz,hamis,,,,1 0
2,Az RTO és RPO ertekek teljesites mellett fontos : be kell tartani a jogszabályokat.,igaz,hamis,,,,1 0
2,Az RTO és RPO használatakor a kieső időnek minimálisnak kell lennie.,igaz,hamis,,,,1 0
2,Az RTO és RPO használatakor egyszerű mechanizmusokat kell tervezni.,igaz,hamis,,,,1 0
