question,title,QType,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
1 egységnyi munka 90 % pontosság.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
2 egységnyi munka 95 % pontosság.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"4 egységnyi munka 97,5 % pontosság.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
8 egységnyi munka 98 % pontosság.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"80 egységnyi munka 99,5% pontosság.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
ABAP Workbench egy Microsoft NAV fejlesztésű platform.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"a BCP jelentése kimenet erőforrás visszaállítása, míg a DRP jelentése a kiesett erőforrások nélküli funkcionális működés",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A best-bractice jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakortalának megfelelő folyamatokat jelentik.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A „best practice"" jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A „best practice"" jellegű üzleti folyamatok nem az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"a centralizált hatáskörök leadása előnyös a munkávalvalói elégedettség,a kreativitás és az elkötelezettség növelése",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Adatbányászat fő célja az analitikai modellalkotás.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Adatbányászatnak nem fő célja az analitikai modellalkotás.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatbányász programok időigényének egy jelentős részét az adatelőkészítés lépés teszi ki.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Adatfajták feldolgozási módjuk szerint. - Karakteres: semmiféle művelet nem végezhető velük, adattartalommal nem összefüggő (maximum rendezni tudjuk, pl. ABC..) Pl: földrajzi nevek",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatforrások közül két féle forrást különböztetünk meg: külső és belső források.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Adathibák életútja diagramból leszűrhető egyik tanulság, hogy a hiba újratermelődést megelőzni a felvitel pillanatában és későbbi kiszűréssel lehet.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatintegráció lényege a különböző forrásokból származó adatok egy helyre csoportosítása és azonos interfészen keresztül való hozzáférhetővé tétele.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Adat lényegében az információk jelentése, vagyis az információk értelmezése valamilyen (például egyéni, vállalati vagy szervezeti) tudás kontextusában.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Adatminoseg javitasokat egy rendszerben csak algoritmikus úton vegezhetunk,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatminőség tekintetében a megbízhatóság az adatforrást minősítő tényező.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatminőség témakörben a pontossági tapasztalat: Egységnyi munkával 90%-os pontosság érhető el.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Adatnak nevezzük a számokkal leírható dolgokat, melyek számítástechnikai eszközökkel rögzíthetők, feldolgozhatók és megjeleníthetők.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatok önmagukban nem hordoznak jelentést.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatok tisztítása az információtartalmukból való leválasztását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Adat olyan adat vagy ismeret, amely viselkedésünket befolyásolni képes.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Adatszabványok nem szabályozzák az adat megjelenítési formáját.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Adattranszformáció során az adatokat olyan közös alakra hozzák, amely lehetővé teszi a döntéstámogató rendszerek lényegi feldolgozó algoritmusainak minél hatékonyabb futtatását.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
adatvédelmi szempontból az eljárásos ellenörzés adatfeldolgozási szinten valósul meg,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Adatvédelmi szempontból az eljárásos ellenőrzés elősegíti a minőséget és csökkenti a csalás, illetve a hibák esélyét.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelyek különféle általános, több vállalattípusnál is előforduló tipikus üzleti folyamatok automatizálását támogatják.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelynek telepítőkészletét a vállalatok CD, DVD vagy Blu-ray lemezek formájában vásárolhatják meg.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek azonos funkcionalitással bírnak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek nem azonos funkcionalitással bírnak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A donteshozatali hierarchia es informacio igeny szerint a operativ vezetes problemaszerkezet jol struktúralt.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A donteshozatali hierarchia es informacio igeny szerint a strategiai vezetok problemaszerkezet kozepesen struktúralt.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A donteshozatali hierarchia es informacio igeny szerint a taktikai vezetes problemaszerkezet kozepesen struktúralt.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A döntéshozatali hierarchia szerint a középvezetői szinten a problémamegoldás strukturálatlan.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
a döntéstámogató rendszerek a stratégiai döntéshozatalhoz kapcsolódó igényeket elégítik ki,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
a döntéstámogató rendszerekben a teljesítménynövelés egyik praktikus módja az adatredukció,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A döntéstámogató rendszerek, vállalati műveleteket támogató rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A DRP feladata a kiesett erőforrások nélküli funkcionális működés biztosítása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A DSS-rendszerek a döntési folyamat informatikai támogatását szolgáló rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A DSS-rendszerek nem a döntési folyamat informatikai támogatását szolgáló rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A felhasznalas vezerelt diszpozicio (consumption-based planning) tipusú eljarasok alapvetoen az anyag múltbeli fogyasztasan alapulnak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhasználóval való kapcsolattartás alapján megkülönböztethetők passzív, aktív és kooperatív döntéstámogató rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhőalapú szolgáltatás egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhőalapú szolgáltatás egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfiguráló módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhoalapú szolgaltatas egy olyan szamitogepes eroforras-hozzaferesi modell, amely a halozaton keresztul kulonfele tipusú kozos hasznalatú modon tesz elerhetove a felhasznalok szamara.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhoalapú szolgaltatas nem egy olyan szamitogepes eroforras-hozzaferesi modell, amely a halozaton keresztul a kulonfele tipusú, kozos hasznalatú eroforrashalmazokat konfiguralhato modon tesz lehetove a felhasznalok szamara.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A felhőalapú szolgáltatás nem egy olyan számítógépes erőforráshozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A felhőalapú szolgáltatás nem egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A felhőszolgáltatások csak ritkán használnak különféle virtualizált erőforrásokat.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A felhőszolgáltatások igénybevétele vállalati környezetben egy szolgáltatáskiszervezési formának tekinthető.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhőszolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification játéktervezési elemek használatát jelenti játékos környezetben.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification játéktervezési elemek használatát jelenti nem-játékos környezetben.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification megközelítésnek nincsenek pszichológiai vonatkozásai.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification megközelítésnek pszichológiai vonatkozásai is vannak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification nem a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"a garbage in garbage out jelentése, hogy rossz adatokból csak rossz adatok nyerhetőek ki",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A haromretegu architektúrajú vallalati informacios rendszerek eseten az uzleti logika reteg feladata a felhasznaloval valo kapcsolattartas.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A haromretegu architektúrajú vallalati informacios rendszerek eseten nem az uzleti logika reteg feladata a felhasznaloval valo kapcsolattartas.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A háttérfeldolgozás beengedi a hibákat,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A hiba kiszűrés ráfordítás igény és a pontosság között egyenes arányosság van.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A kettőnél több dimenziós üzleti adatok vizualizációja csak minimum háromdimenziós megjelenítőkön (pl: VR szemüveg) lehetséges.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A klasszikus OLAP-megközelítésében az adattárházak adatai nem naprakészek, csupán bizonyos késleltetéssel tükrözik a vállalat állapotát.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A kliens-szerver alapú rendszerekben a kommunikaciot tipikusan a kliens kezdemenyezi, a szervernek alaphelyzetben csupan varakozik a bejovo keresre.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A kliens-szerver alapú rendszerekben a kommunikaciot tipikusan a szerver kezdemenyezi, a kliensek alaphelyzetben csupan varakozik a bejovo keresre",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A kliens-szerver modellben a szerver- és a kliensmodulok általában azonos számítógépekre kerülnek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A kliens-szerver modellben a szerver- és a kliensmodulok általában különböző számítógépekre kerülnek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A kliens-szerver rendszerek peer-to-peer jellegű rendszereknek tekinthetők.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A komponens alapú rendszerek feketedoboz-jellegu (black box) újrafelhasznalas lehetosegevel rendelkeznek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A komponensalapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A komponensalapú rendszerek nem rendelkeznek feketedoboz-jellegu (black-box) újrafelhasznalas lehetoseggel.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A komponensalapú rendszerek nem rendelkeznek feketedoboz-jellegű (black box) újrafelhasználás lehetőséggel.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A kontrollingra jellemző, hogy nem módosíthatja a vállalati terveket és az üzleti tevékenységet.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Aktív döntéstámogató rendszerek döntési vagy megoldási javaslatokat is generálnak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A lefúras (drill-down) muvelete megnoveli az egyik dimenzio felbontasat,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A legacy rendszerek rendszerint fontos szerepet játszanak az adott vállalkozások működésében,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A linearis-funkcionalis szervezeti forma eseten, a torzskar kialakulasanak celja a vezeto túlterhetlsegenek csokkentese a szakmai szinvonal novelese",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"a lineáris szervezeti forma egyszerű, jól áttekinthető, egyértelműek az alá fölé rendelési viszonyok",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Alkalmazásintegráció szükséges lehet az üzleti partnerek felé történő kapcsolatkialakítás esetén,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A magánfelhők jellemzője, hogy azok tulajdonosi szerkezete legalább több, mint 50%-ban magánkézben van",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A matematikai szabályok közé soroljuk a konzisztencia ellenőrző szabályokat.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A MÁV START által fejlesztett ELVIRA elnevezésű menetrend rendszer egy információs rendszer.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A MOLAP-rendszerek az adatok tárolására a multidimenziós adatmodellt használják.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A multidimenzionális adatmodellben a dimenziók az elemzések alapját képző tényadatokat jelentik,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A multidimenzionális adatmodellben a dimenziós adatok hierarchiába rendezhetők.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A multidimenzionális adatmodellben a dimenziós adatok nem rendezhetők hierarchiába.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A nyilvános felhők esetében a szolgáltató az ügyfelek sokaságának kiszolgálását célozta.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A nyilvános felhők esetében a szolgáltató nem az ügyfelek sokaságának kiszolgálását célozta.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A PaaS alkalmazásszolgáltatást jelent.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A ""PaaS"" jelentése szoftverszolgáltatás.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A PaaS platformszolgáltatást jelent.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A peer-to-peer rendszerek a kliensek és szerverek hálózaton keresztül történő kapcsolásának módját jelentik.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A peer-to-peer rendszerek nem a kliensek és szerverek hálózaton keresztül történő kapcsolásának módját jelentik.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A pivot (rotate) során a forgatáskor a dimenziók száma nő.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
a rekordszintű hiba összefüggéseket sérhet,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
a relációs adatok indexelésével az adatelemzés hatékonysága romlik,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A rendszer-architektúrak kozotti fo koncepcios kulonbseget a centralizaltsag merteke adja,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A repository a rendszer viselkedését és felépítését leíró koncepcionális terv.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A repository nem a rendszer viselkedését és felépítését leíró koncepcionális terv.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A részkocka-kiválasztás (dice) műveletével az eredeti hiperkocka dimenzióit csak a kiválasztott értékek mentén vizsgáljuk.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A ROLAP rendszerek olyan OLAP-rendszerek, amelyekben az elemzésekhez és előrejelzésekhez nagy számú véletlen (random) esetet generálnak.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A SAP Business Suite egy kis-és középvállalatokat célzó, alacsony komplexitású vállalatirányítási megoldás.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A skálázhatóság a rendszer azon tulajdonsága, hogy a rendszer teljesítménye a rendelkezésre álló erőforrások változtatásával milyen módon változtatható a rendszer újratervezése nélkül",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A SOA egy olyan rendszerépítési stílus, amelynek célja a szoros csatolás megvalósítása az együttműködő szoftvermodulok között.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A SOA nem egy olyan rendszerépítési stílus, amelynek célja a szoros csatolás megvalósítása az együttműködő szoftvermodulok között.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szervetezetek kialakultasat befolyasolo tagi jellemzok: tartossag, újdonsagtartalom.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A szervezet alapveto struktúralis jellemzoi koze tartozik a technokratikus jellemzo, melybe beletartoznak a: szabalyok, szabalyzatok, eljarasok, tervek, programok, menetrendek, koltsegkeretek, penzugyi tervek, elszamolo arak",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szervezet alapvető strukturális jellemzői közül a TECHNOKRATIKUS eszkötök a koordinációs eszközök közé tartoznak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szigetszerű alkalmazások a vállalati információs rendszerek területén az olyan vállalatirányítási rendszereket jelölik, amelyek nem rendelkeznek EDI (Electronic Data Interchange) komponenssel.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A szigetszerű alkalmazások a vállalati információs rendszerek területén az olyan vállalatirányítási rendszereket jelölnek, amelyek nem rendelkeznek EDI (Electronic Data Interchange) komponenssel.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A szigetszerű alkalmazások a vállalati információs rendszerek területén nem az olyan vállalatirányítási rendszereket jelölik, amelyek rendelkeznek EDI (Electronic Data Interchange) komponenssel.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szolgalat út biztositja, hogy az utasitasok lefele minden egyseget elerjenek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szöveg adatfajtával a feldolgozási módjuk szerint szöveg feldolgozási célra használhatók.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szöveges információk zajszűrésére nem lehet hasznos a szótáralapú módszer.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A szöveges információs zajszűrésére hasznos lehet a szótáralapú módszer.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tartalmi adatszabály matematikai szabály.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Átfúrás (drill across) műveletnél az OLAP-kocka felépítéséhez használt operatív adatokhoz tudunk hozzáfűzni, amelyek már nem az OLAP rendszertől, hanem maguktól a tranzakciós adatbázisokból érkeznek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A tranzakció feldolgozó rendszerek részei az információs rendszereknek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tudásmenedzsment rendszerek a vállalatirányítási rendszerek egyik típusának tekinthetők.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
a tudásmenedzsment rendszerek az ERP-rendszerek egyik típusának tekinthetőek,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati alkalmazásintegráció a hatékonyan együttműködő és karbantartható alkalmazásrendszer kialakításával foglalkozó szakterület.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati alkalmazásintegráció az adatintegritás megfelelőségéért felel,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati alkalmazásintegráció nem a hatékonyan együttműködő és karbantartható alkalmazásrendszer kialakításával foglalkozó szakterület.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"a vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati dobozos szoftvertermékek minden esetben jól integrálhatók a többi vállalati rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalati dobozos szoftvertermékek nem minden esetben integrálhatók jól a többi vállalati rendszerrel.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati felhőszolgáltatások elutasításának egyik fő oka a magas kezdeti befektetés,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata nem csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata szinte csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"a vállalati információs rendszerek esetében a vékonykliens megoldások használata számos előnnyel rendelkezik, a hagyományos vastagkliens megoldásokkal szemben",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati információs rendszerek leggyakrabban kliens-szerver architektúrára épülnek,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati okoskliens alkalmazások kizárólag natív okostelefonos alkalmazások formájában valósíthatóak meg.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatirányítási rendszerek bimoduláris felépítésűek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
a vállalatirányítási rendszerek moduláris felépítésűek,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vállalatok által használt üzleti alkalmazások nem érhetők el felhőszolgáltatásként, csak a nem üzletiek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan döntéstámogató rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan nem tranzakciófeldolgozó rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan tranzakciófeldolgozó rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vallalat szempontjabol informacionak szamit minden bizonytalansagot csokkento új ismeret.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vastagkliens megoldásokra épülő vállalati információs rendszerek eseteként a folyamatos kapcsolat nélkül működés lehetőségét kínálják.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vékonykliens megoldásokra épülő vállalati információs rendszerek a helyi erőforrásokat csekélyebb mértékben használják ki, mint a vastagkliensre épülők.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vékonykliens megoldásokra épülő vállalati információs rendszerek a helyi erőforrásokat jelentősebb mértékben használják ki, mint a vastagkliensre épülők.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A vékonykliens megoldásokra épülő vállalati információs rendszereknek nehézkesebb a telepítése, mint a vastagkliensre épülőknek",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A web 2.0 webes felületen keresztül elérhető ERP-rendszereket jelöli.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
AWS a Google nyilvános számításfelhő-szolgáltatása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
az ABAP Workbench egy Microsoft NAV fejlesztésű platform (SAP),VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az adatbányászat fő célja az analitikai modellalkotás.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Az adatbányászat különböző adatbázisokban végzett önálló tudásfeltárást takar, amely korábban nem ismert, váratlan, nem triviálisan előállítható infomrációk megszerzésére irányul.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az adatbányászatnak nem fő célja az analitikai modellalkotás.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
az adatbányász programok időigényének egy jelentős részét az adatelőkészítés lépés teszi ki,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az adatintegráció lényege a különböző forrásokból származó adatok egy helyre csoportosítása és azonos interfészen keresztül való hozzáférhetővé tétele.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az adatintegráció során az adatingeritást érjük el.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az adatintegráció során nem az adatinegritást érjük el.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Az adat lényegében az információk jelentése, vagyis az információk értelmezése valamilyen (például egyéni, vállalati vagy szervezeti) tudás kontextusában.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Az adatminőség adatonként adható meg, és csak egy adott célra való alkalmasságot jelent.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Az adatminőség jellemzői közé tartozik a tartalom, a pontosság, és az időszerűség is.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Az adatminőség probléma összefüggésekből eredő hibáin belül vannak a DUMMY értékek. A Dummy lényege,hogy ez egy mesterséges vagy álváltozó, melynek értéke 0 vagy 1 lehet.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Az adatok forrásai szerint a sajtóból, hatóságoktól, piackutató cégek belső források.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az adatok önmagukban nem hordoznak jelentést.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
az adatok tisztítása az információtartalmukból való leválasztását jelenti,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Az adat olyan adat vagy ismeret, amely viselkedésünket befolyásolni képes.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
az adatszabványok nem szabályozzák az adat megjelenítési formáját,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
